Building,Floor,Best Available Refuge Area,Geocoding,FormattedAddress
Environmental Health and Safety,1,"Room 1013, room 1019, room 1020","33.21494, -87.534179","Environmental Health and Safety (EHS), 410 Campus Drive East, Tuscaloosa, AL 35401, USA"
Engineering Student Project Buildin,1,Common restrooms,"33.209841, -87.569173","Tuscaloosa, AL, USA"
Facilities Administration Building,1,"Common restrooms, room 138, room 171, room 172","33.209841, -87.569173","Tuscaloosa, AL, USA"
Facilities Maintenance Building,1,"Common restrooms, hallway outside room 109 including between rooms 133 and 134","33.209841, -87.569173","Tuscaloosa, AL, USA"
Facilities Paint Shop,ALL,Proceed to Fleet Services Building,"33.209841, -87.569173","Tuscaloosa, AL, USA"
Farrah Hall,ALL,Proceed to Moore Hall,"33.208802, -87.543862","Farrah Hall, Tuscaloosa, AL 35401, USA"
Ferguson Center,1,Main hallway between fire doors in lobby and room 128,"33.214432, -87.545566","Ferguson Student Center, 751 Campus Drive, Tuscaloosa, AL 35404, USA"
Ferguson Parking Deck,1,Eastern section of deck behind ramp to second level,"33.215493, -87.547011","Ferguson Center Parking Deck, Tuscaloosa, AL 35401, USA"
Fleet Services Garage,1,Hallway at Facilities Paint Shop entrance,"33.209841, -87.569173","Tuscaloosa, AL, USA"
Fleet Services Office,1,Closet in room 103A,"33.209841, -87.569173","Tuscaloosa, AL, USA"
Foster Auditorium,1,"Visitor locker, coaches locker, restrooms (102, 105, 109, 143, 133, 134, 125A, 125)","33.207734, -87.543936","Foster Auditorium, Tuscaloosa, AL 35401, USA"
Friedman Hall,1,"Hallway between west stairwell and room 153, hallway between room 139 and room 123","33.211377, -87.550544","Freidman Hall, Tuscaloosa, AL 35401, USA"
Gallalee Hall,1,Hallway between rooms 120 and 132,"33.209558, -87.543854","Gallalee Hall, Tuscaloosa, AL 35401, USA"
Garland Hall,1,Closet in room 100A,"33.212503, -87.545456","Garland Hall, Tuscaloosa, AL 35401, USA"
Gordon Palmer Hall,1,"Hallway between rooms A103 and A117, hallway between rooms 168 and 195, hallway between rooms 162B and 162C, hallway between rooms 130 and 162I, hallway between rooms 139 and 140 and to room 155","33.210833, -87.542238","Gordon Palmer Hall, Tuscaloosa, AL 35401, USA"
Gorgas Home,1,Stairway in room 101,"33.212619, -87.547643","The Gorgas House Museum, 810 Capstone Drive, Tuscaloosa, AL 35401, USA"
Gorgas Library,B,All interior space in Basement,"33.211803, -87.546032","Amelia Gayle Gorgas Library, 711 Capstone Drive, Tuscaloosa, AL 35487, USA"
Gorgas Library,1,interior hallways adjacent to NE and NW stairwells,"33.211803, -87.546032","Amelia Gayle Gorgas Library, 711 Capstone Drive, Tuscaloosa, AL 35487, USA"
Gorgas Library,2,"Rooms 0200, 0202 H located across NW stairwell","33.211803, -87.546032","Amelia Gayle Gorgas Library, 711 Capstone Drive, Tuscaloosa, AL 35487, USA"
Graves Hall,B,"Room 3, room 4, hallway between rooms 3 and 4","33.210627, -87.548501","Graves Hall, Tuscaloosa, AL 35401, USA"
Hardaway Hall,1,"Hallway between rooms 102 and 107, hallway between rooms 132 and 135","33.21327, -87.54471","Hardaway Hall, Tuscaloosa, AL 35401, USA"
Harris Hall,1,"Hallway between rooms 101 and 110, hallway between rooms 114 and 119","33.207668, -87.543353","Hayden-Harris Hall, Tuscaloosa, AL 35401, USA"
Hayden Harris Hall,B,Interior hallway,"33.207668, -87.543353","Hayden-Harris Hall, Tuscaloosa, AL 35401, USA"
Highlands on Hackberry Commons,1,Hallway outside common restrooms,"33.203451, -87.543045","Hackberry Lane, Tuscaloosa, AL 35401, USA"
Highlands on Hackberry (all buildin,1,Interior hallway of each apartment,"33.209841, -87.569173","Tuscaloosa, AL, USA"
